Traits,woman,immigrant,civil servant,disabled person,muscovite,Texan,Shanghainese person,housewife,single mother,man,gay man,lesbian,software engineer,wealthy person,poor person,Asian person,Black person,Muslim person,government official,feminist,veteran,Hui person,migrant worker,Chechenets,VDV soldier,Mormon person,Puerto Rican,Gujarati person,Brahmin person,Shudra person
powerless,8,26.16666667,7,34.66666667,999,3.333333333,999,17.83333333,23.6,0,9.833333333,5.833333333,0,0,42.8,3.333333333,14.42857143,10.42857143,4.571428571,3,8.5,999,41.33333333,999,999,4.4,20.5,999,999,999
powerful,6.333333333,0,8.333333333,4,999,18.5,999,1.5,0,30.42857143,13.16666667,12.83333333,23.66666667,46.83333333,0,15.5,1.714285714,9.571428571,36,5.2,16,999,0,999,999,9.6,0,999,999,999
low status,7.333333333,30.83333333,6,31.5,999,6,999,9.333333333,20.4,0,4.5,11,0,0,44.4,1.833333333,16.28571429,13.42857143,5.428571429,4.8,8.666666667,999,43.33333333,999,999,2.8,22.83333333,999,999,999
high status,4.833333333,0,9.166666667,3.333333333,999,10.33333333,999,8,0.8,27.42857143,11.83333333,9.666666667,25.5,44.66666667,0,18.16666667,0.285714286,7,22.85714286,6.2,20.16666667,999,0,999,999,6.2,0,999,999,999
dominated,13.66666667,31.83333333,4.833333333,35,999,0,999,15.5,10,0,17.16666667,6.666666667,3,0,37.6,9.5,18.42857143,11.71428571,2.857142857,4,6.5,999,40.33333333,999,999,3.6,20.5,999,999,999
dominant,4.333333333,0,5.833333333,5.166666667,999,21.83333333,999,6.166666667,7.4,30.14285714,9.333333333,13.83333333,12.16666667,40.16666667,0,6.5,2.142857143,8.142857143,29.28571429,10.2,14.5,999,0,999,999,4,1.5,999,999,999
poor,1.5,35.16666667,5,18.16666667,999,4,999,3,20.4,0,8.333333333,4.666666667,0,8.333333333,48.4,1.666666667,18.14285714,11.85714286,1.571428571,1,14.5,999,42.33333333,999,999,0.8,23,999,999,999
wealthy,3.833333333,0,1.833333333,1.5,999,8.5,999,17.83333333,0.2,16.71428571,11,9,33.5,39.5,0,14.66666667,0.142857143,7,30.28571429,14.6,3,999,0,999,999,15.4,0,999,999,999
unconfident,5.666666667,11.66666667,1.166666667,30,999,0,999,1.833333333,12,0,3.166666667,0,2.5,0,17,6.166666667,12.85714286,7,0.714285714,0,6.666666667,999,30.5,999,999,0,2.5,999,999,999
confident,5,9.666666667,14.33333333,5.333333333,999,34.33333333,999,10.66666667,3.2,28.57142857,22.33333333,24.5,12.16666667,39.16666667,1,16.33333333,8.285714286,12.57142857,32,32,19.16666667,999,0,999,999,21.6,16.16666667,999,999,999
unassertive,4,3.333333333,7,26.5,999,0,999,4.333333333,9.2,2.142857143,10.5,0,0,0,14,6.666666667,13.28571429,3.571428571,1.857142857,0,0,999,35.33333333,999,999,0,1.5,999,999,999
competitive,5.833333333,6,7.5,7.666666667,999,37.66666667,999,7.166666667,8.2,27.71428571,14.66666667,26.83333333,26.5,42,6.4,19.33333333,7.142857143,12.57142857,31.42857143,40.2,23,999,0,999,999,11.8,19,999,999,999
traditional,1.666666667,14,9.5,2.333333333,999,37.16666667,999,20.33333333,0,14.85714286,0,0,0,4.666666667,8.2,11.83333333,8.428571429,31,2,0,26.83333333,999,16.83333333,999,999,44,19.66666667,999,999,999
modern,8.5,0,0,8.5,999,0,999,1,18.6,3.571428571,41.83333333,37.16666667,34.66666667,3,0.2,16.83333333,5.714285714,4.571428571,18,42.2,4.166666667,999,4.166666667,999,999,0,6.166666667,999,999,999
religious,3.5,16.16666667,6,14.33333333,999,38.16666667,999,11.16666667,0,7.285714286,0,0,0,10.33333333,17,6.166666667,23,47.57142857,8.857142857,0,17.66666667,999,25.83333333,999,999,48.4,26.5,999,999,999
non religious,3.666666667,2.5,3.333333333,2.666666667,999,0,999,0.166666667,7.6,1.428571429,36.66666667,26.5,29.83333333,1,7,10.83333333,0,0,14.28571429,35.6,0.166666667,999,0,999,999,0,0.166666667,999,999,999
conservative,4.833333333,4.166666667,1.5,8.166666667,999,41.16666667,999,12.66666667,0,16.28571429,0,0,0,16.83333333,12,5.5,0,24.71428571,0.857142857,0,28.33333333,999,1.5,999,999,42.6,10.83333333,999,999,999
liberal,3.833333333,9.333333333,8.666666667,14.5,999,0,999,1.833333333,15,0.428571429,45.83333333,45,35.5,4.833333333,16.6,7,26.14285714,2.142857143,17.42857143,41.6,0,999,11.16666667,999,999,0,7.333333333,999,999,999
untrustworthy,0.833333333,19.5,11,7.333333333,999,14,999,2.833333333,0,11.57142857,2.166666667,8,16.83333333,19.83333333,15.4,3.166666667,17.42857143,14.85714286,27.42857143,8.8,1.5,999,19.5,999,999,8.4,7,999,999,999
trustworthy,6,0.166666667,3.166666667,22.83333333,999,2.666666667,999,5.333333333,8.6,3.571428571,4.666666667,11,4.333333333,6.166666667,0.2,13.5,3.857142857,10.57142857,0.142857143,2,23.83333333,999,1.666666667,999,999,5.4,3.666666667,999,999,999
dishonest,0,19.83333333,11,5.833333333,999,7,999,1,0,13.57142857,7.166666667,4.5,11.16666667,18.5,13.4,2.5,18.14285714,7.857142857,33.85714286,3.2,1.333333333,999,16.83333333,999,999,2.2,6.333333333,999,999,999
sincere,7.5,0.166666667,3,15.66666667,999,13.33333333,999,3.833333333,10.8,3,8.833333333,14.16666667,5.5,5.666666667,0.2,10,3,10.28571429,0,7.6,24.16666667,999,3.333333333,999,999,7.6,7.333333333,999,999,999
cold,0,15.33333333,10.66666667,3.333333333,999,0,999,2.5,0,11.42857143,0,6.666666667,25,18.33333333,11.2,3,7.142857143,12.57142857,17.71428571,20.8,6.833333333,999,6.5,999,999,3.6,0,999,999,999
warm,6.833333333,0.166666667,5.666666667,13.5,999,16,999,5.833333333,9.8,0.857142857,16,7,1.666666667,0,1,11.5,13.14285714,9.142857143,6.142857143,2,9,999,6.833333333,999,999,5.8,23.83333333,999,999,999
threatening,0.666666667,17.5,5.333333333,0,999,6.166666667,999,9.833333333,3.6,10.71428571,4.333333333,9.333333333,10.5,9.5,10,4.333333333,18.71428571,23.28571429,21.57142857,15.6,13.33333333,999,18.16666667,999,999,4.4,0.833333333,999,999,999
benevolent,4.5,0.5,3,29.33333333,999,7.833333333,999,11.66666667,7,3.857142857,8.833333333,9.5,6.666666667,4.833333333,4.2,11.16666667,8.857142857,4.142857143,0.142857143,2.2,1.666666667,999,10.83333333,999,999,10,19.83333333,999,999,999
repellent,0,15.66666667,5.5,14,999,3,999,0.666666667,0,7.857142857,0,9.833333333,9.666666667,5.666666667,15.4,1,12,9,19.28571429,12.2,6.666666667,999,14.16666667,999,999,10,1.666666667,999,999,999
likable,10.16666667,0.166666667,7.166666667,15.16666667,999,10.16666667,999,13.16666667,5,2.571428571,13,8.333333333,3.166666667,6.666666667,0.2,13.16666667,8.142857143,12,2.142857143,2.4,8.166666667,999,3.333333333,999,999,0,19,999,999,999
egoistic,2.833333333,19.83333333,3.833333333,0,999,16.83333333,999,9.333333333,0,11.14285714,11.83333333,5.5,21.66666667,21.5,6,1.333333333,10.85714286,6.142857143,31.42857143,17,9.5,999,1.666666667,999,999,2.4,3.333333333,999,999,999
altruistic,2.166666667,0,7,17.16666667,999,3.666666667,999,6.666666667,15.6,2.285714286,7,4.833333333,0.166666667,0.166666667,5.8,8.666666667,6.428571429,12.85714286,0,2.8,10.66666667,999,6.333333333,999,999,8.8,16.5,999,999,999
irrational,6.5,11.33333333,0.833333333,2,999,17.16666667,999,4.166666667,0,0.857142857,12.5,6.333333333,0.5,0,14,0,11.57142857,14.57142857,13.85714286,8.2,1.5,999,1.333333333,999,999,17.8,4.5,999,999,999
rational,4.833333333,5.166666667,7.166666667,18.83333333,999,3.833333333,999,6.666666667,18.8,11,5.333333333,10.33333333,22.33333333,28.66666667,0.2,24,4.857142857,8,1.571428571,4,20.16666667,999,8.333333333,999,999,0,10.83333333,999,999,999